in s,C2 in V
-1.1936020E+00,3.30566E+00
-1.1935836E+00,3.27637E+00
-1.1935652E+00,3.27637E+00
-1.1935469E+00,3.27637E+00
-1.1935285E+00,3.27637E+00
-1.1935102E+00,3.27637E+00
-1.1934918E+00,3.29590E+00
-1.1934734E+00,3.28613E+00
-1.1934551E+00,3.26660E+00
-1.1934367E+00,3.31543E+00
-1.1934184E+00,3.24707E+00
-1.1934000E+00,3.28613E+00
-1.1933816E+00,3.32520E+00
-1.1933633E+00,3.23730E+00
-1.1933449E+00,3.24707E+00
-1.1933266E+00,3.29590E+00
-1.1933082E+00,3.29590E+00
-1.1932898E+00,3.29590E+00
-1.1932715E+00,3.29590E+00
-1.1932531E+00,3.27637E+00
-1.1932348E+00,3.29590E+00
-1.1932164E+00,3.24707E+00
-1.1931980E+00,3.24707E+00
-1.1931797E+00,3.29590E+00
-1.1931613E+00,3.27637E+00
-1.1931430E+00,3.31543E+00
-1.1931246E+00,3.25684E+00
-1.1931062E+00,3.28613E+00
-1.1930879E+00,3.26660E+00
-1.1930695E+00,3.29590E+00
-1.1930512E+00,3.28613E+00
-1.1930328E+00,3.30566E+00
-1.1930144E+00,3.29590E+00
-1.1929961E+00,3.25684E+00
-1.1929777E+00,3.27637E+00
-1.1929594E+00,3.28613E+00
-1.1929410E+00,3.27637E+00
-1.1929226E+00,3.28613E+00
-1.1929043E+00,3.27637E+00
-1.1928859E+00,3.24707E+00
-1.1928676E+00,3.24707E+00
-1.1928492E+00,3.25684E+00
-1.1928308E+00,3.27637E+00
-1.1928125E+00,3.29590E+00
-1.1927941E+00,3.26660E+00
-1.1927758E+00,3.23730E+00
-1.1927574E+00,3.25684E+00
-1.1927390E+00,3.28613E+00
-1.1927207E+00,3.30566E+00
-1.1927023E+00,3.29590E+00
-1.1926840E+00,3.27637E+00
-1.1926656E+00,3.28613E+00
-1.1926472E+00,3.32520E+00
-1.1926289E+00,3.28613E+00
-1.1926105E+00,3.26660E+00
-1.1925922E+00,3.25684E+00
-1.1925738E+00,3.29590E+00
-1.1925554E+00,3.24707E+00
-1.1925371E+00,3.27637E+00
-1.1925187E+00,3.26660E+00
-1.1925004E+00,3.28613E+00
-1.1924820E+00,3.24707E+00
-1.1924636E+00,3.25684E+00
-1.1924453E+00,3.29590E+00
-1.1924269E+00,3.24707E+00
-1.1924086E+00,3.28613E+00
-1.1923902E+00,3.23730E+00
-1.1923718E+00,3.24707E+00
-1.1923535E+00,3.24707E+00
-1.1923351E+00,3.31543E+00
-1.1923168E+00,3.24707E+00
-1.1922984E+00,3.31543E+00
-1.1922800E+00,3.29590E+00
-1.1922617E+00,3.25684E+00
-1.1922433E+00,3.23730E+00
-1.1922250E+00,3.30566E+00
-1.1922066E+00,3.26660E+00
-1.1921882E+00,3.23730E+00
-1.1921699E+00,3.26660E+00
-1.1921515E+00,3.26660E+00
-1.1921332E+00,3.30566E+00
-1.1921148E+00,3.24707E+00
-1.1920964E+00,3.27637E+00
-1.1920781E+00,3.29590E+00
-1.1920597E+00,3.27637E+00
-1.1920414E+00,3.27637E+00
-1.1920230E+00,3.27637E+00
-1.1920046E+00,3.23730E+00
-1.1919863E+00,3.26660E+00
-1.1919679E+00,3.29590E+00
-1.1919496E+00,3.26660E+00
-1.1919312E+00,3.27637E+00
-1.1919128E+00,3.27637E+00
-1.1918945E+00,3.26660E+00
-1.1918761E+00,3.26660E+00
-1.1918578E+00,3.25684E+00
-1.1918394E+00,3.28613E+00
-1.1918210E+00,3.28613E+00
-1.1918027E+00,3.24707E+00
-1.1917843E+00,3.29590E+00
-1.1917660E+00,3.20801E+00
-1.1917476E+00,3.24707E+00
-1.1917292E+00,3.24707E+00
-1.1917109E+00,3.26660E+00
-1.1916925E+00,3.25684E+00
-1.1916742E+00,3.22754E+00
-1.1916558E+00,3.25684E+00
-1.1916374E+00,3.25684E+00
-1.1916191E+00,3.28613E+00
-1.1916007E+00,3.27637E+00
-1.1915824E+00,3.30566E+00
-1.1915640E+00,3.24707E+00
-1.1915456E+00,3.24707E+00
-1.1915273E+00,3.28613E+00
-1.1915089E+00,3.30566E+00
-1.1914906E+00,3.28613E+00
-1.1914722E+00,3.26660E+00
-1.1914538E+00,3.28613E+00
-1.1914355E+00,3.31543E+00
-1.1914171E+00,3.29590E+00
-1.1913988E+00,3.22754E+00
-1.1913804E+00,3.27637E+00
-1.1913620E+00,3.28613E+00
-1.1913437E+00,3.29590E+00
-1.1913253E+00,3.26660E+00
-1.1913070E+00,3.25684E+00
-1.1912886E+00,3.25684E+00
-1.1912702E+00,3.28613E+00
-1.1912519E+00,3.27637E+00
-1.1912335E+00,3.27637E+00
-1.1912152E+00,3.23730E+00
-1.1911968E+00,3.25684E+00
-1.1911784E+00,3.29590E+00
-1.1911601E+00,3.29590E+00
-1.1911417E+00,3.23730E+00
-1.1911234E+00,3.27637E+00
-1.1911050E+00,3.29590E+00
-1.1910866E+00,3.28613E+00
-1.1910683E+00,3.25684E+00
-1.1910499E+00,3.26660E+00
-1.1910316E+00,3.28613E+00
-1.1910132E+00,3.24707E+00
-1.1909948E+00,3.27637E+00
-1.1909765E+00,3.24707E+00
-1.1909581E+00,3.28613E+00
-1.1909398E+00,3.24707E+00
-1.1909214E+00,3.29590E+00
-1.1909030E+00,3.24707E+00
-1.1908847E+00,3.27637E+00
-1.1908663E+00,3.24707E+00
-1.1908480E+00,3.24707E+00
-1.1908296E+00,3.33496E+00
-1.1908112E+00,3.26660E+00
-1.1907929E+00,3.24707E+00
-1.1907745E+00,3.28613E+00
-1.1907562E+00,3.29590E+00
-1.1907378E+00,3.24707E+00
-1.1907194E+00,3.31543E+00
-1.1907011E+00,3.30566E+00
-1.1906827E+00,3.23730E+00
-1.1906644E+00,3.26660E+00
-1.1906460E+00,3.29590E+00
-1.1906276E+00,3.27637E+00
-1.1906093E+00,3.28613E+00
-1.1905909E+00,3.32520E+00
-1.1905726E+00,3.29590E+00
-1.1905542E+00,3.23730E+00
-1.1905358E+00,3.27637E+00
-1.1905175E+00,3.24707E+00
-1.1904991E+00,3.26660E+00
-1.1904808E+00,3.27637E+00
-1.1904624E+00,3.25684E+00
-1.1904440E+00,3.29590E+00
-1.1904257E+00,3.29590E+00
