in s,C1 in V
-1.1918583E+00,3.27637E+00
-1.1918400E+00,3.35449E+00
-1.1918217E+00,3.34473E+00
-1.1918033E+00,3.32520E+00
-1.1917850E+00,3.37402E+00
-1.1917667E+00,3.32520E+00
-1.1917483E+00,3.30566E+00
-1.1917300E+00,3.33496E+00
-1.1917116E+00,3.34473E+00
-1.1916933E+00,3.37402E+00
-1.1916750E+00,3.33496E+00
-1.1916566E+00,3.33496E+00
-1.1916383E+00,3.35449E+00
-1.1916200E+00,3.28613E+00
-1.1916016E+00,3.31543E+00
-1.1915833E+00,3.36426E+00
-1.1915650E+00,3.35449E+00
-1.1915466E+00,3.37402E+00
-1.1915283E+00,3.34473E+00
-1.1915100E+00,3.27637E+00
-1.1914916E+00,3.31543E+00
-1.1914733E+00,3.23730E+00
-1.1914549E+00,3.38379E+00
-1.1914366E+00,3.39355E+00
-1.1914183E+00,3.33496E+00
-1.1913999E+00,3.35449E+00
-1.1913816E+00,3.37402E+00
-1.1913633E+00,3.25684E+00
-1.1913449E+00,3.28613E+00
-1.1913266E+00,3.33496E+00
-1.1913083E+00,3.35449E+00
-1.1912899E+00,3.31543E+00
-1.1912716E+00,3.30566E+00
-1.1912532E+00,3.29590E+00
-1.1912349E+00,3.30566E+00
-1.1912166E+00,3.26660E+00
-1.1911982E+00,3.36426E+00
-1.1911799E+00,3.41309E+00
-1.1911616E+00,3.35449E+00
-1.1911432E+00,3.36426E+00
-1.1911249E+00,3.31543E+00
-1.1911066E+00,3.29590E+00
-1.1910882E+00,3.26660E+00
-1.1910699E+00,3.34473E+00
-1.1910516E+00,3.34473E+00
-1.1910332E+00,3.35449E+00
-1.1910149E+00,3.32520E+00
-1.1909965E+00,3.28613E+00
-1.1909782E+00,3.28613E+00
-1.1909599E+00,3.37402E+00
-1.1909415E+00,3.35449E+00
-1.1909232E+00,3.39355E+00
-1.1909049E+00,3.35449E+00
-1.1908865E+00,3.34473E+00
-1.1908682E+00,3.35449E+00
-1.1908499E+00,3.30566E+00
-1.1908315E+00,3.29590E+00
-1.1908132E+00,3.31543E+00
-1.1907948E+00,3.38379E+00
-1.1907765E+00,3.35449E+00
-1.1907582E+00,3.33496E+00
-1.1907398E+00,3.38379E+00
-1.1907215E+00,3.27637E+00
-1.1907032E+00,3.27637E+00
-1.1906848E+00,3.36426E+00
-1.1906665E+00,3.39355E+00
-1.1906482E+00,3.35449E+00
-1.1906298E+00,3.30566E+00
-1.1906115E+00,3.29590E+00
-1.1905932E+00,3.31543E+00
-1.1905748E+00,3.31543E+00
-1.1905565E+00,3.30566E+00
-1.1905381E+00,3.34473E+00
-1.1905198E+00,3.34473E+00
-1.1905015E+00,3.33496E+00
-1.1904831E+00,3.33496E+00
-1.1904648E+00,3.30566E+00
-1.1904465E+00,3.38379E+00
-1.1904281E+00,3.39355E+00
-1.1904098E+00,3.37402E+00
-1.1903915E+00,3.38379E+00
-1.1903731E+00,3.33496E+00
-1.1903548E+00,3.30566E+00
-1.1903364E+00,3.32520E+00
-1.1903181E+00,3.34473E+00
-1.1902998E+00,3.38379E+00
-1.1902814E+00,3.39355E+00
-1.1902631E+00,3.32520E+00
-1.1902448E+00,3.31543E+00
-1.1902264E+00,3.36426E+00
-1.1902081E+00,3.29590E+00
-1.1901898E+00,3.33496E+00
-1.1901714E+00,3.36426E+00
-1.1901531E+00,3.33496E+00
-1.1901348E+00,3.35449E+00
-1.1901164E+00,3.36426E+00
-1.1900981E+00,3.36426E+00
-1.1900797E+00,3.32520E+00
-1.1900614E+00,3.28613E+00
-1.1900431E+00,3.34473E+00
-1.1900247E+00,3.37402E+00
-1.1900064E+00,3.39355E+00
-1.1899881E+00,3.38379E+00
-1.1899697E+00,3.35449E+00
-1.1899514E+00,3.30566E+00
-1.1899331E+00,3.31543E+00
-1.1899147E+00,3.35449E+00
-1.1898964E+00,3.35449E+00
-1.1898780E+00,3.35449E+00
-1.1898597E+00,3.29590E+00
-1.1898414E+00,3.31543E+00
-1.1898230E+00,3.33496E+00
-1.1898047E+00,3.33496E+00
-1.1897864E+00,3.35449E+00
-1.1897680E+00,3.31543E+00
-1.1897497E+00,3.37402E+00
-1.1897314E+00,3.30566E+00
-1.1897130E+00,3.34473E+00
