in s,C1 in V
-2.9813864E+00,5.37109E-02
-2.9813405E+00,2.44141E-02
-2.9812947E+00,2.44141E-02
-2.9812489E+00,7.32422E-02
-2.9812031E+00,-2.44141E-02
-2.9811572E+00,7.32422E-02
-2.9811114E+00,7.32422E-02
-2.9810656E+00,2.44141E-02
-2.9810197E+00,2.44141E-02
-2.9809739E+00,4.39453E-02
-2.9809281E+00,3.41797E-02
-2.9808823E+00,4.39453E-02
-2.9808364E+00,-4.88281E-03
-2.9807906E+00,6.34766E-02
-2.9807448E+00,2.44141E-02
-2.9806989E+00,2.44141E-02
-2.9806531E+00,5.37109E-02
-2.9806073E+00,6.34766E-02
-2.9805615E+00,6.34766E-02
-2.9805156E+00,8.30078E-02
-2.9804698E+00,5.37109E-02
-2.9804240E+00,4.39453E-02
-2.9803782E+00,2.44141E-02
-2.9803323E+00,1.02539E-01
-2.9802865E+00,3.41797E-02
-2.9802407E+00,8.30078E-02
-2.9801948E+00,6.34766E-02
-2.9801490E+00,3.41797E-02
-2.9801032E+00,-5.37109E-02
-2.9800574E+00,3.41797E-02
-2.9800115E+00,-4.88281E-03
-2.9799657E+00,1.46484E-02
-2.9799199E+00,3.41797E-02
-2.9798740E+00,-4.88281E-03
-2.9798282E+00,5.37109E-02
-2.9797824E+00,4.88281E-03
-2.9797366E+00,7.32422E-02
-2.9796907E+00,6.34766E-02
-2.9796449E+00,1.46484E-02
-2.9795991E+00,3.41797E-02
-2.9795532E+00,1.46484E-02
-2.9795074E+00,4.39453E-02
-2.9794616E+00,-4.88281E-03
-2.9794158E+00,2.44141E-02
-2.9793699E+00,2.44141E-02
-2.9793241E+00,2.44141E-02
-2.9792783E+00,3.41797E-02
-2.9792325E+00,4.39453E-02
-2.9791866E+00,1.46484E-02
-2.9791408E+00,4.88281E-03
-2.9790950E+00,3.41797E-02
-2.9790491E+00,5.37109E-02
-2.9790033E+00,4.39453E-02
-2.9789575E+00,3.41797E-02
-2.9789117E+00,4.88281E-03
-2.9788658E+00,1.46484E-02
-2.9788200E+00,4.88281E-03
-2.9787742E+00,2.44141E-02
-2.9787283E+00,4.39453E-02
-2.9786825E+00,4.88281E-03
-2.9786367E+00,4.88281E-03
-2.9785909E+00,3.41797E-02
-2.9785450E+00,3.41797E-02
-2.9784992E+00,3.41797E-02
-2.9784534E+00,5.37109E-02
-2.9784075E+00,1.46484E-02
-2.9783617E+00,4.39453E-02
-2.9783159E+00,6.34766E-02
-2.9782701E+00,4.39453E-02
-2.9782242E+00,3.41797E-02
-2.9781784E+00,3.41797E-02
-2.9781326E+00,1.46484E-02
-2.9780868E+00,4.39453E-02
-2.9780409E+00,5.37109E-02
-2.9779951E+00,6.34766E-02
-2.9779493E+00,1.46484E-02
-2.9779034E+00,-4.88281E-03
-2.9778576E+00,7.32422E-02
-2.9778118E+00,-2.44141E-02
-2.9777660E+00,2.44141E-02
-2.9777201E+00,4.88281E-03
-2.9776743E+00,6.34766E-02
-2.9776285E+00,4.39453E-02
-2.9775826E+00,9.27734E-02
-2.9775368E+00,5.37109E-02
-2.9774910E+00,2.44141E-02
-2.9774452E+00,4.39453E-02
-2.9773993E+00,2.44141E-02
-2.9773535E+00,2.44141E-02
-2.9773077E+00,-4.88281E-03
-2.9772618E+00,8.30078E-02
-2.9772160E+00,5.37109E-02
-2.9771702E+00,4.39453E-02
-2.9771244E+00,3.41797E-02
-2.9770785E+00,-4.88281E-03
-2.9770327E+00,2.44141E-02
-2.9769869E+00,4.88281E-03
-2.9769411E+00,5.37109E-02
-2.9768952E+00,3.41797E-02
-2.9768494E+00,6.34766E-02
-2.9768036E+00,-1.46484E-02
-2.9767577E+00,4.88281E-03
-2.9767119E+00,1.46484E-02
-2.9766661E+00,3.41797E-02
-2.9766203E+00,-1.46484E-02
-2.9765744E+00,4.39453E-02
-2.9765286E+00,5.37109E-02
-2.9764828E+00,2.44141E-02
-2.9764369E+00,4.39453E-02
-2.9763911E+00,3.41797E-02
-2.9763453E+00,3.41797E-02
-2.9762995E+00,5.37109E-02
-2.9762536E+00,4.39453E-02
-2.9762078E+00,6.34766E-02
-2.9761620E+00,-4.88281E-03
-2.9761161E+00,1.46484E-02
-2.9760703E+00,4.39453E-02
-2.9760245E+00,1.46484E-02
-2.9759787E+00,2.44141E-02
-2.9759328E+00,3.41797E-02
-2.9758870E+00,1.46484E-02
-2.9758412E+00,4.39453E-02
-2.9757954E+00,4.88281E-03
-2.9757495E+00,-1.46484E-02
-2.9757037E+00,4.39453E-02
-2.9756579E+00,4.39453E-02
-2.9756120E+00,-4.88281E-03
-2.9755662E+00,1.46484E-02
-2.9755204E+00,4.88281E-03
-2.9754746E+00,7.32422E-02
-2.9754287E+00,2.44141E-02
-2.9753829E+00,-2.44141E-02
-2.9753371E+00,6.34766E-02
-2.9752912E+00,2.44141E-02
-2.9752454E+00,2.44141E-02
-2.9751996E+00,3.41797E-02
-2.9751538E+00,6.34766E-02
-2.9751079E+00,4.39453E-02
-2.9750621E+00,-4.88281E-03
-2.9750163E+00,3.41797E-02
-2.9749704E+00,7.32422E-02
-2.9749246E+00,4.88281E-03
-2.9748788E+00,2.44141E-02
-2.9748330E+00,9.27734E-02
-2.9747871E+00,2.44141E-02
-2.9747413E+00,4.39453E-02
-2.9746955E+00,4.88281E-03
-2.9746497E+00,-4.88281E-03
-2.9746038E+00,-4.88281E-03
-2.9745580E+00,4.39453E-02
-2.9745122E+00,1.46484E-02
-2.9744663E+00,3.41797E-02
-2.9744205E+00,4.88281E-03
-2.9743747E+00,4.88281E-03
-2.9743289E+00,3.41797E-02
-2.9742830E+00,1.46484E-02
-2.9742372E+00,1.46484E-02
-2.9741914E+00,-1.46484E-02
-2.9741455E+00,2.44141E-02
-2.9740997E+00,1.46484E-02
-2.9740539E+00,3.41797E-02
-2.9740081E+00,4.39453E-02
-2.9739622E+00,1.46484E-02
-2.9739164E+00,3.41797E-02
-2.9738706E+00,7.32422E-02
-2.9738247E+00,3.41797E-02
-2.9737789E+00,5.37109E-02
-2.9737331E+00,-4.88281E-03
-2.9736873E+00,2.44141E-02
-2.9736414E+00,4.88281E-03
-2.9735956E+00,3.41797E-02
-2.9735498E+00,3.41797E-02
-2.9735040E+00,6.34766E-02
-2.9734581E+00,2.44141E-02
-2.9734123E+00,3.41797E-02
-2.9733665E+00,2.44141E-02
-2.9733206E+00,4.88281E-03
-2.9732748E+00,1.46484E-02
-2.9732290E+00,2.44141E-02
-2.9731832E+00,5.37109E-02
-2.9731373E+00,2.44141E-02
-2.9730915E+00,3.41797E-02
-2.9730457E+00,3.41797E-02
-2.9729998E+00,-3.41797E-02
-2.9729540E+00,4.39453E-02
-2.9729082E+00,2.44141E-02
-2.9728624E+00,4.39453E-02
-2.9728165E+00,6.34766E-02
-2.9727707E+00,1.02539E-01
-2.9727249E+00,3.41797E-02
-2.9726790E+00,4.88281E-03
-2.9726332E+00,7.32422E-02
-2.9725874E+00,4.39453E-02
-2.9725416E+00,-4.88281E-03
-2.9724957E+00,2.44141E-02
-2.9724499E+00,6.34766E-02
-2.9724041E+00,-1.46484E-02
-2.9723583E+00,2.44141E-02
-2.9723124E+00,5.37109E-02
-2.9722666E+00,2.44141E-02
-2.9722208E+00,2.44141E-02
-2.9721749E+00,2.44141E-02
-2.9721291E+00,2.44141E-02
-2.9720833E+00,4.88281E-03
-2.9720375E+00,2.44141E-02
-2.9719916E+00,-4.88281E-03
-2.9719458E+00,3.41797E-02
-2.9719000E+00,1.46484E-02
-2.9718541E+00,1.46484E-02
-2.9718083E+00,4.88281E-03
-2.9717625E+00,-4.88281E-03
-2.9717167E+00,1.46484E-02
-2.9716708E+00,-1.46484E-02
-2.9716250E+00,9.27734E-02
-2.9715792E+00,4.88281E-03
-2.9715333E+00,6.34766E-02
-2.9714875E+00,5.37109E-02
-2.9714417E+00,4.88281E-03
-2.9713959E+00,4.39453E-02
-2.9713500E+00,7.32422E-02
-2.9713042E+00,5.37109E-02
-2.9712584E+00,2.44141E-02
-2.9712126E+00,6.34766E-02
-2.9711667E+00,5.37109E-02
-2.9711209E+00,6.34766E-02
-2.9710751E+00,4.39453E-02
-2.9710292E+00,3.41797E-02
-2.9709834E+00,4.88281E-03
-2.9709376E+00,2.44141E-02
-2.9708918E+00,-4.88281E-03
-2.9708459E+00,1.46484E-02
-2.9708001E+00,4.39453E-02
-2.9707543E+00,5.37109E-02
-2.9707084E+00,-4.88281E-03
-2.9706626E+00,2.44141E-02
-2.9706168E+00,-4.88281E-03
-2.9705710E+00,2.44141E-02
-2.9705251E+00,3.41797E-02
-2.9704793E+00,3.41797E-02
-2.9704335E+00,1.46484E-02
-2.9703876E+00,3.41797E-02
-2.9703418E+00,4.88281E-03
-2.9702960E+00,5.37109E-02
-2.9702502E+00,4.39453E-02
-2.9702043E+00,5.37109E-02
-2.9701585E+00,5.37109E-02
-2.9701127E+00,1.46484E-02
-2.9700669E+00,4.39453E-02
-2.9700210E+00,4.39453E-02
-2.9699752E+00,1.46484E-02
-2.9699294E+00,-4.88281E-03
-2.9698835E+00,2.44141E-02
-2.9698377E+00,2.44141E-02
-2.9697919E+00,4.39453E-02
-2.9697461E+00,2.44141E-02
-2.9697002E+00,3.41797E-02
-2.9696544E+00,4.39453E-02
-2.9696086E+00,4.39453E-02
-2.9695627E+00,7.32422E-02
-2.9695169E+00,2.44141E-02
-2.9694711E+00,4.39453E-02
-2.9694253E+00,1.46484E-02
-2.9693794E+00,4.88281E-03
-2.9693336E+00,1.46484E-02
-2.9692878E+00,5.37109E-02
-2.9692419E+00,1.46484E-02
-2.9691961E+00,5.37109E-02
-2.9691503E+00,1.46484E-02
-2.9691045E+00,1.46484E-02
-2.9690586E+00,-4.88281E-03
-2.9690128E+00,5.37109E-02
-2.9689670E+00,-1.46484E-02
-2.9689212E+00,2.44141E-02
-2.9688753E+00,5.37109E-02
-2.9688295E+00,4.88281E-03
-2.9687837E+00,7.32422E-02
-2.9687378E+00,7.32422E-02
-2.9686920E+00,-1.46484E-02
-2.9686462E+00,1.46484E-02
-2.9686004E+00,5.37109E-02
-2.9685545E+00,5.37109E-02
-2.9685087E+00,4.39453E-02
-2.9684629E+00,4.88281E-03
-2.9684170E+00,1.46484E-02
-2.9683712E+00,1.46484E-02
-2.9683254E+00,2.44141E-02
-2.9682796E+00,4.39453E-02
-2.9682337E+00,5.37109E-02
-2.9681879E+00,2.44141E-02
-2.9681421E+00,2.44141E-02
-2.9680962E+00,3.41797E-02
-2.9680504E+00,7.32422E-02
-2.9680046E+00,4.88281E-03
-2.9679588E+00,4.88281E-03
-2.9679129E+00,3.41797E-02
-2.9678671E+00,3.41797E-02
-2.9678213E+00,-4.88281E-03
-2.9677755E+00,2.44141E-02
-2.9677296E+00,4.88281E-03
-2.9676838E+00,9.27734E-02
-2.9676380E+00,4.39453E-02
-2.9675921E+00,3.41797E-02
-2.9675463E+00,2.44141E-02
-2.9675005E+00,2.44141E-02
-2.9674547E+00,2.44141E-02
-2.9674088E+00,4.88281E-03
-2.9673630E+00,2.44141E-02
-2.9673172E+00,3.41797E-02
-2.9672713E+00,4.39453E-02
-2.9672255E+00,2.44141E-02
-2.9671797E+00,-1.46484E-02
-2.9671339E+00,2.44141E-02
-2.9670880E+00,-1.46484E-02
-2.9670422E+00,1.46484E-02
-2.9669964E+00,3.41797E-02
-2.9669505E+00,4.39453E-02
-2.9669047E+00,5.37109E-02
-2.9668589E+00,2.44141E-02
-2.9668131E+00,3.41797E-02
-2.9667672E+00,4.39453E-02
-2.9667214E+00,4.39453E-02
-2.9666756E+00,1.46484E-02
-2.9666298E+00,3.41797E-02
-2.9665839E+00,-1.46484E-02
-2.9665381E+00,4.39453E-02
-2.9664923E+00,-4.88281E-03
-2.9664464E+00,2.44141E-02
-2.9664006E+00,6.34766E-02
-2.9663548E+00,5.37109E-02
-2.9663090E+00,2.44141E-02
-2.9662631E+00,5.37109E-02
-2.9662173E+00,2.44141E-02
-2.9661715E+00,5.37109E-02
-2.9661256E+00,3.41797E-02
-2.9660798E+00,7.32422E-02
-2.9660340E+00,5.37109E-02
-2.9659882E+00,4.39453E-02
-2.9659423E+00,4.39453E-02
-2.9658965E+00,2.44141E-02
-2.9658507E+00,2.44141E-02
-2.9658048E+00,-4.88281E-03
-2.9657590E+00,-4.88281E-03
-2.9657132E+00,-4.39453E-02
-2.9656674E+00,2.44141E-02
-2.9656215E+00,3.41797E-02
-2.9655757E+00,1.46484E-02
-2.9655299E+00,-4.88281E-03
-2.9654841E+00,5.37109E-02
-2.9654382E+00,3.41797E-02
-2.9653924E+00,4.88281E-03
-2.9653466E+00,4.88281E-03
-2.9653007E+00,5.37109E-02
-2.9652549E+00,-4.88281E-03
-2.9652091E+00,4.88281E-03
-2.9651633E+00,2.44141E-02
-2.9651174E+00,2.44141E-02
-2.9650716E+00,4.88281E-03
-2.9650258E+00,3.41797E-02
-2.9649799E+00,5.37109E-02
-2.9649341E+00,3.41797E-02
-2.9648883E+00,-4.88281E-03
-2.9648425E+00,-1.46484E-02
-2.9647966E+00,4.88281E-03
-2.9647508E+00,1.46484E-02
-2.9647050E+00,3.41797E-02
-2.9646591E+00,3.41797E-02
-2.9646133E+00,2.44141E-02
