in s,C2 in V
-2.9769662E+00,-2.44141E-02
-2.9769203E+00,1.46484E-02
-2.9768744E+00,-4.39453E-02
-2.9768285E+00,2.44141E-02
-2.9767826E+00,-3.41797E-02
-2.9767367E+00,2.44141E-02
-2.9766908E+00,-1.46484E-02
-2.9766449E+00,-2.44141E-02
-2.9765990E+00,-4.39453E-02
-2.9765531E+00,-1.46484E-02
-2.9765072E+00,2.44141E-02
-2.9764613E+00,-1.46484E-02
-2.9764154E+00,1.46484E-02
-2.9763695E+00,2.44141E-02
-2.9763236E+00,-2.44141E-02
-2.9762776E+00,-4.88281E-03
-2.9762317E+00,4.88281E-03
-2.9761858E+00,-2.44141E-02
-2.9761399E+00,-1.46484E-02
-2.9760940E+00,-4.88281E-03
-2.9760481E+00,2.44141E-02
-2.9760022E+00,2.44141E-02
-2.9759563E+00,2.44141E-02
-2.9759104E+00,4.88281E-03
-2.9758645E+00,4.88281E-03
-2.9758186E+00,-3.41797E-02
-2.9757727E+00,-4.88281E-03
-2.9757268E+00,-2.44141E-02
-2.9756809E+00,4.88281E-03
-2.9756350E+00,-5.37109E-02
-2.9755891E+00,-4.88281E-03
-2.9755432E+00,-3.41797E-02
-2.9754973E+00,2.44141E-02
-2.9754514E+00,-4.39453E-02
-2.9754055E+00,4.88281E-03
-2.9753596E+00,-1.46484E-02
-2.9753137E+00,4.88281E-03
-2.9752678E+00,1.46484E-02
-2.9752219E+00,-4.88281E-03
-2.9751760E+00,-2.44141E-02
-2.9751300E+00,-1.46484E-02
-2.9750841E+00,-3.41797E-02
-2.9750382E+00,4.88281E-03
-2.9749923E+00,1.46484E-02
-2.9749464E+00,-2.44141E-02
-2.9749005E+00,-1.46484E-02
-2.9748546E+00,4.88281E-03
-2.9748087E+00,-3.41797E-02
-2.9747628E+00,-4.88281E-03
-2.9747169E+00,-1.46484E-02
-2.9746710E+00,-4.88281E-03
-2.9746251E+00,-2.44141E-02
-2.9745792E+00,-4.88281E-03
-2.9745333E+00,4.88281E-03
-2.9744874E+00,4.88281E-03
-2.9744415E+00,4.88281E-03
-2.9743956E+00,-2.44141E-02
-2.9743497E+00,-4.88281E-03
-2.9743038E+00,4.88281E-03
-2.9742579E+00,-1.46484E-02
-2.9742120E+00,4.88281E-03
-2.9741661E+00,2.44141E-02
-2.9741202E+00,-4.88281E-03
-2.9740743E+00,-3.41797E-02
-2.9740284E+00,2.44141E-02
-2.9739824E+00,-5.37109E-02
-2.9739365E+00,1.46484E-02
-2.9738906E+00,-1.46484E-02
-2.9738447E+00,-5.37109E-02
-2.9737988E+00,-1.46484E-02
-2.9737529E+00,-4.88281E-03
-2.9737070E+00,-2.44141E-02
-2.9736611E+00,-4.88281E-03
-2.9736152E+00,-1.46484E-02
-2.9735693E+00,1.46484E-02
-2.9735234E+00,-1.46484E-02
-2.9734775E+00,-4.88281E-03
-2.9734316E+00,4.39453E-02
-2.9733857E+00,-3.41797E-02
-2.9733398E+00,-2.44141E-02
-2.9732939E+00,1.46484E-02
